Instance,Config,Decoder,Seed,Cost,Feasible,NumNodes,NumEdges,WarmStart,InitialCost,TotalIterations,LastUpdateIteration,TotalTime,LastUpdateTime,LargestIterationOffset,StalledIterations,PRTime,PRCalls,PRNumHomogenities,PRNumImprovBest,PRNumImprovElite,NumExchanges,NumShakes,NumResets
ad-hoc-net_150_0.6,config_torres.conf,permutation,14,6,yes,150,7302,0,0,100,1,0.17,0.00,1,99,0.00,0,0,0,0,0,0,0
ad-hoc-net_150_0.6,config_torres.conf,permutation,15,6,yes,150,7302,0,0,100,1,0.18,0.00,1,99,0.00,0,0,0,0,0,0,0
ad-hoc-net_150_0.6,config_torres.conf,permutation,16,6,yes,150,7302,0,0,100,1,0.17,0.00,1,99,0.00,0,0,0,0,0,0,0
ad-hoc-net_150_0.6,config_torres.conf,permutation,17,6,yes,150,7302,0,0,100,1,0.17,0.00,1,99,0.00,0,0,0,0,0,0,0
ad-hoc-net_150_0.6,config_torres.conf,permutation,18,6,yes,150,7302,0,0,100,1,0.17,0.00,1,99,0.00,0,0,0,0,0,0,0
ad-hoc-net_150_0.6,config_torres.conf,permutation,19,6,yes,150,7302,0,0,100,1,0.17,0.00,1,99,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,0,1986,yes,2395,7462,0,0,100,100,2.02,2.02,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,1,2028,yes,2395,7462,0,0,100,100,1.98,1.98,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,2,2006,yes,2395,7462,0,0,100,100,2.03,2.03,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,3,1967,yes,2395,7462,0,0,100,100,2.03,2.03,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,4,2025,yes,2395,7462,0,0,100,100,2.05,2.05,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,5,1996,yes,2395,7462,0,0,100,100,2.12,2.12,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,6,1982,yes,2395,7462,0,0,100,100,2.12,2.12,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,7,1991,yes,2395,7462,0,0,100,100,2.12,2.12,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,8,2053,yes,2395,7462,0,0,100,100,1.96,1.96,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,9,2042,yes,2395,7462,0,0,100,99,1.99,1.97,3,1,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,10,2030,yes,2395,7462,0,0,100,100,2.06,2.06,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,11,1942,yes,2395,7462,0,0,100,100,2.16,2.16,2,0,0.00,0,0,0,0,0,0,0
add20,config_torres.conf,threshold,12,1985,yes,2395,7462,0,0,100,99,2.10,2.08,2,1,0.00,0,0,0,0,0,0,0
